Week Number,Job,Assembly,Assembly Description,Qty,Schedule_Group,Department Class,Department,OP_SEQ_NUM,OPERATION_DESCRIPTION,RESOURCE_OPERATIONS_SEQ,RESOURCE_CODE,DESCRIPTION,Usage,Qty Per Hour,Run Time Min,Run Time Hours,Operation Start Date,Operation Completion Date,Paint_Code,NVL(REQ.REQLIST;'NODEMANDFOUND'),SCHED_FLAG
13,3656672,906056,UPRIGHT TUBE (M/S) (0.652),12,METAL SHOP WK 14-2022,METAL SHOP,SAW DEPT,110,METAL SAW,30,ADDISONSAW,ADDISON SAWS (2) - MEC 2000 AND ADIGE,0.001709,585,1.23,0.02,31/03/2022 08:00,31/03/2022 08:13,,No Demand found,Yes
13,3656672,906056,UPRIGHT TUBE (M/S) (0.652),12,METAL SHOP WK 14-2022,METAL SHOP,CNC PUNCH,120,BS CNC TUBE PUNCH,20,CNC PUNCH,BS CNC TUBE PUNCH,0.018349,54.5,13.21,0.22,31/03/2022 08:13,31/03/2022 08:27,,No Demand found,Yes
13,3656672,906056,UPRIGHT TUBE (M/S) (0.652),12,METAL SHOP WK 14-2022,METAL SHOP,1MP0010,130,EDBROW PRESS 20 TONNE,30,MW6,CRIMP - MW6 PRESS TOOL,0.004167,240,3,0.05,31/03/2022 08:27,31/03/2022 08:42,,No Demand found,Yes
13,3656672,906056,UPRIGHT TUBE (M/S) (0.652),12,METAL SHOP WK 14-2022,METAL SHOP,MANNUTSERT,140,MANUAL NUTSERT DEPARTMENT,20,MANNUTSERT,MANUAL NUTSERT DEPARTMENT,0.001389,720,1,0.02,31/03/2022 08:42,31/03/2022 08:44,,No Demand found,Yes
14,3656673,912745,RSB.150.NX.GRAPHITE.V16.KIT AA30E(PF270).CORDLESS BACKPACK.LESS BATTERY,80,RSV / DUSTROL WK 14-2022,VAC A,HRNSS PREP,120,RUCSAC VAC HARNESS PREP STAGE,20,HRNSS PREP,RUCSAC VAC HARNESS PREP STAGE,0.04,25,192,3.2,04/04/2022 08:00,04/04/2022 11:27,,No Demand found,Next
14,3656673,912745,RSB.150.NX.GRAPHITE.V16.KIT AA30E(PF270).CORDLESS BACKPACK.LESS BATTERY,80,RSV / DUSTROL WK 14-2022,VAC A,RS MOTORS,130,RUCSAC VAC MOTOR ASSEMBLY STAGE,20,RS MOTORS,RUCSAC VAC MOTOR ASSEMBLY STAGE,0.04,25,192,3.2,04/04/2022 08:00,04/04/2022 11:27,,No Demand found,Next
14,3656673,912745,RSB.150.NX.GRAPHITE.V16.KIT AA30E(PF270).CORDLESS BACKPACK.LESS BATTERY,80,RSV / DUSTROL WK 14-2022,VAC A,RS ASSY 1,140,RUCSAC VAC ASSEMBLY STAGE 1,20,RS ASSY 1,RUCSAC VAC ASSEMBLY STAGE 1,0.04,25,192,3.2,04/04/2022 08:00,04/04/2022 11:27,,No Demand found,Next
14,3656673,912745,RSB.150.NX.GRAPHITE.V16.KIT AA30E(PF270).CORDLESS BACKPACK.LESS BATTERY,80,RSV / DUSTROL WK 14-2022,VAC A,RS ASSY 2,150,RUCSAC VAC ASSEMBLY STAGE 2,20,RS ASSY 2,RUCSAV VAC ASSEMBLY STAGE 2,0.04,25,192,3.2,04/04/2022 08:00,04/04/2022 11:27,,No Demand found,Next
14,3656673,912745,RSB.150.NX.GRAPHITE.V16.KIT AA30E(PF270).CORDLESS BACKPACK.LESS BATTERY,80,RSV / DUSTROL WK 14-2022,VAC A,RS TEST,160,RUCSAC VAC TEST STAGE,20,RS TEST,RUCSAC VAC TEST STAGE,0.04,25,192,3.2,04/04/2022 08:00,04/04/2022 11:27,,No Demand found,Next
13,3656690,902296,HVR160 CABLE REEL COVER WITH BASE ASSEMBLY (WHITE WORLD LOGO),8100,CM WK 13-2022,INJC MOULD,COVEREEL 1,110,MACHINE 0.03 ENGEL VICTORY 150T,10,MACH 0.03,ENGEL VICTORY 150T + ROBOT + R/COVER CELLNB 160T + PRESSFLOW PACER ROBOT,0.0125,80,6075,101.25,28/03/2022 18:10,01/04/2022 23:25,,S1 REELERS=6977,Yes
14,3656691,216295,32MM END CUFF (LONG) BLACK ASSY A SPARE PART,1500,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.003058,327,275.23,4.59,04/04/2022 08:00,04/04/2022 12:51,,No Demand found,Yes
14,3656692,303549,HANDLE SECURING KIT,250,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.008065,124,120.97,2.02,04/04/2022 08:00,04/04/2022 10:01,,MOTOR CELL=250,Yes
14,3656693,303563,DUSTROL SECURING KIT,3,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.008333,120,1.5,0.03,04/04/2022 08:00,04/04/2022 08:15,,PREP-A1=3,Yes
